checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,class
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid,none,life insurance,bank,rent,skilled,yes,yes,49,13305,4,3,20,4,1,good
no checking,delayed previously,used car,500<=X<1000,1<=X<4,male mar/wid,none,car,none,own,unskilled resident,none,yes,34,809,3,3,46,2,1,good
<0,all paid,furniture/equipment,<100,1<=X<4,male single,none,car,none,own,unskilled resident,none,yes,40,1983,3,3,20,4,2,bad
no checking,all paid,radio/tv,100<=X<500,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,19,9111,4,2,40,1,2,good
no checking,critical/other existing credit,new car,<100,<1,female div/sep/mar,guarantor,no known property,bank,for free,skilled,none,yes,49,1792,2,2,25,1,1,good
>=200,all paid,radio/tv,<100,>=7,male mar/wid,none,real estate,none,own,skilled,none,yes,49,9713,1,4,22,3,1,good
no checking,all paid,business,<100,<1,male mar/wid,none,real estate,bank,own,skilled,none,yes,64,2665,1,3,67,1,1,good
no checking,no credits/all paid,new car,<100,4<=X<7,female div/sep/mar,none,real estate,none,for free,unskilled resident,none,yes,49,11233,2,4,56,1,2,good
no checking,critical/other existing credit,domestic appliances,<100,<1,female div/sep/mar,none,real estate,none,own,skilled,none,yes,54,13155,4,1,57,2,1,good
<0,critical/other existing credit,business,no known savings,<1,female div/sep/mar,none,real estate,none,own,skilled,none,yes,65,5637,3,3,38,2,1,bad
>=200,existing paid,business,no known savings,>=7,female div/sep/mar,none,no known property,none,rent,unskilled resident,none,yes,38,8437,3,3,24,3,1,good
no checking,existing paid,business,no known savings,<1,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,45,6893,1,4,27,3,1,good
0<=X<200,existing paid,radio/tv,<100,>=7,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,48,15917,2,4,70,3,1,good
no checking,critical/other existing credit,business,no known savings,1<=X<4,female div/sep/mar,none,real estate,none,own,unskilled resident,none,yes,71,11496,3,1,49,3,1,bad
no checking,delayed previously,radio/tv,<100,<1,female div/sep/mar,none,car,none,own,skilled,yes,yes,50,2708,1,4,44,2,1,good
no checking,existing paid,new car,<100,>=7,male mar/wid,none,no known property,none,own,skilled,none,yes,33,6278,3,3,54,3,2,good
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,bank,for free,skilled,none,yes,27,5697,3,2,44,3,1,good
<0,existing paid,radio/tv,<100,>=7,male single,none,real estate,bank,own,skilled,none,yes,69,2198,3,1,46,1,2,bad
no checking,delayed previously,used car,100<=X<500,<1,female div/sep/mar,none,real estate,stores,rent,skilled,yes,yes,46,6556,1,1,23,3,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male mar/wid,none,real estate,none,own,skilled,yes,yes,37,8501,2,3,69,4,1,bad
<0,existing paid,radio/tv,<100,unemployed,male single,none,real estate,none,own,unskilled resident,none,yes,26,8342,4,2,28,1,2,bad
no checking,no credits/all paid,new car,100<=X<500,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,64,12613,2,4,36,2,2,good
no checking,all paid,radio/tv,<100,>=7,female div/sep/mar,none,real estate,none,for free,skilled,none,yes,40,14316,3,4,33,4,1,good
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,female div/sep/mar,none,car,none,own,skilled,none,yes,16,16379,2,2,75,3,1,good
>=200,existing paid,furniture/equipment,<100,>=7,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,10,16026,3,2,51,1,1,good
0<=X<200,critical/other existing credit,new car,no known savings,>=7,male single,co applicant,no known property,none,own,skilled,none,no,45,439,1,3,23,3,1,bad
<0,delayed previously,new car,no known savings,>=7,male mar/wid,none,no known property,none,own,unskilled resident,yes,yes,41,12002,1,4,55,1,1,bad
0<=X<200,existing paid,furniture/equipment,<100,<1,male single,none,car,none,own,skilled,none,yes,55,7732,1,3,58,3,1,bad
no checking,existing paid,business,<100,1<=X<4,male single,none,life insurance,bank,own,skilled,yes,yes,47,16929,3,4,40,4,1,good
<0,existing paid,new car,<100,1<=X<4,male single,none,life insurance,none,own,unskilled resident,yes,yes,67,1049,2,4,40,2,1,bad
0<=X<200,existing paid,radio/tv,>=1000,1<=X<4,male single,guarantor,life insurance,bank,own,high qualif/self emp/mgmt,none,yes,16,10184,4,2,40,4,1,good
0<=X<200,critical/other existing credit,new car,<100,1<=X<4,male single,guarantor,car,bank,own,unskilled resident,yes,yes,31,9038,4,3,70,4,1,bad
0<=X<200,delayed previously,used car,<100,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,4,10159,1,2,33,2,1,good
no checking,existing paid,education,<100,<1,male single,none,no known property,none,own,skilled,none,yes,46,12665,4,3,35,1,1,good
0<=X<200,all paid,radio/tv,<100,4<=X<7,male single,none,no known property,none,own,unskilled resident,none,yes,45,11040,3,4,69,1,1,bad
0<=X<200,critical/other existing credit,new car,<100,<1,female div/sep/mar,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,53,14096,2,1,63,2,1,bad
no checking,critical/other existing credit,furniture/equipment,no known savings,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,63,4964,4,1,46,3,1,good
0<=X<200,existing paid,new car,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,4,11658,4,3,40,1,1,good
<0,critical/other existing credit,furniture/equipment,<100,>=7,male mar/wid,co applicant,real estate,none,own,skilled,none,yes,54,3089,2,3,39,4,1,bad
0<=X<200,existing paid,radio/tv,>=1000,4<=X<7,male single,none,life insurance,none,for free,unskilled resident,yes,yes,19,3763,4,2,60,2,1,good
<0,existing paid,new car,no known savings,4<=X<7,male single,none,real estate,none,rent,skilled,yes,yes,42,13851,2,4,35,4,1,bad
<0,critical/other existing credit,used car,<100,<1,male single,co applicant,no known property,none,for free,skilled,yes,yes,18,1385,3,1,23,1,1,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,rent,skilled,none,yes,36,12163,3,2,36,2,1,good
0<=X<200,delayed previously,business,<100,<1,male single,none,life insurance,bank,rent,high qualif/self emp/mgmt,none,yes,56,10351,3,3,35,2,2,good
no checking,existing paid,other,no known savings,1<=X<4,male single,none,car,none,for free,skilled,none,yes,20,6798,1,4,22,1,1,good
0<=X<200,existing paid,new car,<100,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,9,4766,3,2,72,1,2,good
>=200,critical/other existing credit,radio/tv,no known savings,unemployed,male single,none,life insurance,none,own,skilled,none,yes,34,4352,4,2,25,2,1,good
no checking,existing paid,furniture/equipment,100<=X<500,1<=X<4,male single,guarantor,no known property,bank,own,skilled,none,yes,72,16467,1,3,43,3,1,good
<0,existing paid,furniture/equipment,<100,>=7,male single,co applicant,car,none,own,high qualif/self emp/mgmt,none,yes,43,18182,1,4,55,2,1,bad
no checking,existing paid,radio/tv,<100,>=7,female div/sep/mar,none,life insurance,none,for free,skilled,none,yes,33,4761,1,1,58,3,1,good
<0,existing paid,business,<100,1<=X<4,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,72,14274,3,2,58,4,2,bad
no checking,existing paid,business,<100,unemployed,male div/sep,none,life insurance,none,own,skilled,yes,yes,10,11663,1,3,61,3,1,good
<0,critical/other existing credit,radio/tv,<100,<1,male single,none,car,bank,rent,unskilled resident,yes,yes,16,16569,3,2,27,3,1,bad
0<=X<200,existing paid,furniture/equipment,100<=X<500,1<=X<4,female div/sep/mar,none,car,none,own,high qualif/self emp/mgmt,none,yes,7,12965,3,3,37,1,1,good
<0,existing paid,radio/tv,no known savings,>=7,female div/sep/mar,none,car,none,own,skilled,yes,yes,53,8225,1,3,69,2,1,bad
no checking,existing paid,used car,<100,<1,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,6,12871,1,3,27,4,1,good
0<=X<200,critical/other existing credit,radio/tv,500<=X<1000,>=7,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,15,10761,4,4,41,2,1,good
>=200,delayed previously,furniture/equipment,<100,<1,male single,none,real estate,bank,own,unskilled resident,yes,yes,68,10808,1,1,49,3,2,good
<0,existing paid,radio/tv,<100,>=7,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,30,776,3,4,50,3,1,good
no checking,critical/other existing credit,used car,<100,1<=X<4,male mar/wid,co applicant,car,none,for free,skilled,yes,yes,53,2003,4,1,70,3,1,bad
<0,critical/other existing credit,new car,100<=X<500,>=7,male single,none,car,bank,rent,skilled,yes,yes,20,14906,4,3,49,2,1,bad
no checking,critical/other existing credit,business,no known savings,1<=X<4,male single,none,life insurance,none,own,skilled,yes,yes,35,10470,3,1,35,3,1,bad
<0,critical/other existing credit,new car,100<=X<500,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,54,18288,1,4,66,2,1,bad
<0,existing paid,furniture/equipment,<100,<1,male single,none,life insurance,bank,own,skilled,none,yes,20,12991,1,2,57,4,2,good
<0,critical/other existing credit,new car,<100,<1,female div/sep/mar,none,life insurance,stores,rent,skilled,none,yes,37,5091,2,4,40,4,1,bad
0<=X<200,existing paid,new car,<100,>=7,male div/sep,none,real estate,bank,own,unskilled resident,none,yes,38,4291,1,4,53,2,1,good
>=200,critical/other existing credit,new car,<100,>=7,male div/sep,none,real estate,none,own,skilled,yes,yes,27,9215,2,4,48,4,2,bad
<0,critical/other existing credit,new car,no known savings,>=7,male single,none,real estate,none,rent,skilled,yes,yes,57,14668,4,4,71,1,1,bad
no checking,critical/other existing credit,education,no known savings,4<=X<7,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,21,4667,4,4,69,3,1,good
0<=X<200,delayed previously,used car,100<=X<500,>=7,male single,none,real estate,none,own,skilled,none,yes,53,9227,4,1,58,3,1,good
0<=X<200,existing paid,business,<100,<1,male div/sep,guarantor,real estate,none,for free,unskilled resident,yes,yes,49,14837,2,1,55,3,2,bad
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,51,698,3,2,44,1,1,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,none,life insurance,bank,own,unskilled resident,yes,yes,36,4835,3,4,24,3,1,good
>=200,critical/other existing credit,radio/tv,<100,4<=X<7,male single,none,no known property,none,rent,high qualif/self emp/mgmt,none,yes,30,13001,4,4,52,2,1,bad
<0,all paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,4,8358,2,2,74,3,1,good
<0,existing paid,radio/tv,100<=X<500,<1,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,62,15784,2,2,50,2,1,good
no checking,existing paid,used car,100<=X<500,4<=X<7,male single,none,life insurance,none,for free,skilled,yes,yes,13,11693,4,3,43,4,1,good
no checking,critical/other existing credit,furniture/equipment,<100,>=7,male single,guarantor,real estate,none,rent,skilled,yes,yes,28,544,1,2,69,2,1,bad
0<=X<200,critical/other existing credit,business,<100,1<=X<4,female div/sep/mar,none,car,none,own,unskilled resident,yes,yes,60,1488,4,2,31,2,2,bad
0<=X<200,existing paid,business,<100,<1,female div/sep/mar,none,real estate,bank,own,skilled,none,yes,69,15571,2,2,56,2,1,good
no checking,existing paid,business,<100,<1,male single,none,no known property,none,own,skilled,none,yes,18,16324,1,3,56,3,1,good
0<=X<200,critical/other existing credit,furniture/equipment,no known savings,1<=X<4,male single,none,no known property,bank,own,skilled,yes,yes,31,13299,3,1,20,1,1,bad
<0,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,16,3066,1,3,74,1,1,good
<0,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,none,car,bank,rent,skilled,yes,yes,17,1348,3,1,23,2,2,good
no checking,existing paid,furniture/equipment,<100,4<=X<7,male single,none,car,bank,rent,skilled,yes,yes,69,14929,2,2,29,3,1,good
no checking,existing paid,new car,no known savings,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,37,1987,4,3,29,1,1,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,unskilled resident,yes,yes,28,3015,4,3,42,4,1,good
<0,existing paid,new car,<100,>=7,male single,none,real estate,stores,own,high qualif/self emp/mgmt,yes,yes,57,17856,4,1,32,4,1,bad
<0,delayed previously,furniture/equipment,<100,<1,female div/sep/mar,none,real estate,none,own,skilled,none,yes,15,14480,4,3,63,3,1,bad
no checking,critical/other existing credit,education,500<=X<1000,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,12,11684,4,3,48,4,1,good
<0,delayed previously,new car,no known savings,>=7,female div/sep/mar,none,car,bank,own,skilled,none,yes,34,12341,2,4,58,4,1,bad
<0,critical/other existing credit,new car,<100,<1,male mar/wid,none,no known property,none,for free,skilled,none,yes,56,660,2,1,65,4,1,bad
no checking,existing paid,new car,no known savings,<1,male single,co applicant,real estate,none,rent,skilled,yes,yes,46,5036,4,3,62,1,1,good
<0,existing paid,business,no known savings,>=7,male single,co applicant,car,none,own,skilled,none,yes,41,9319,1,3,53,4,1,bad
no checking,no credits/all paid,furniture/equipment,no known savings,1<=X<4,male single,none,real estate,none,for free,unskilled resident,none,yes,45,17420,4,2,39,2,1,good
<0,existing paid,furniture/equipment,100<=X<500,4<=X<7,male mar/wid,none,life insurance,none,own,skilled,none,yes,51,6085,3,4,73,2,1,good
<0,critical/other existing credit,repairs,100<=X<500,unemployed,male single,none,life insurance,none,own,skilled,none,yes,70,2236,3,4,23,4,1,bad
<0,critical/other existing credit,education,<100,4<=X<7,male single,none,life insurance,bank,own,unskilled resident,none,yes,69,8376,3,2,56,2,1,bad
no checking,existing paid,furniture/equipment,500<=X<1000,1<=X<4,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,19,9320,3,2,20,1,1,good
no checking,existing paid,radio/tv,<100,unemployed,male single,none,life insurance,none,rent,unskilled resident,none,yes,19,7550,4,2,58,3,1,good
no checking,critical/other existing credit,radio/tv,100<=X<500,4<=X<7,male single,co applicant,car,none,own,skilled,none,yes,34,15798,3,2,55,2,1,bad
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,none,no,61,2653,1,4,72,4,1,good
no checking,existing paid,new car,500<=X<1000,1<=X<4,male single,none,life insurance,bank,own,skilled,none,yes,31,8512,4,3,67,3,1,good
<0,critical/other existing credit,vacation,no known savings,<1,female div/sep/mar,none,no known property,bank,rent,unskilled resident,none,yes,7,10752,3,3,52,3,1,bad
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid,none,car,none,own,unskilled resident,none,yes,13,6951,4,2,29,4,2,good
no checking,existing paid,used car,no known savings,1<=X<4,female div/sep/mar,none,life insurance,none,own,unskilled resident,yes,yes,54,3545,4,1,54,2,1,good
<0,existing paid,furniture/equipment,<100,<1,male mar/wid,none,real estate,bank,own,unskilled resident,yes,yes,21,15937,4,2,29,1,1,good
<0,critical/other existing credit,new car,no known savings,>=7,male single,none,no known property,none,rent,skilled,none,yes,50,13125,2,3,27,2,1,bad
<0,existing paid,new car,<100,unemployed,male single,none,car,none,rent,skilled,none,yes,35,2371,3,1,24,2,1,good
<0,no credits/all paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,33,3832,2,2,74,1,1,bad
<0,critical/other existing credit,new car,no known savings,<1,female div/sep/mar,none,real estate,none,rent,skilled,yes,yes,39,14727,1,1,52,3,1,bad
>=200,no credits/all paid,furniture/equipment,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,12,10071,1,2,65,1,1,good
0<=X<200,critical/other existing credit,radio/tv,no known savings,>=7,female div/sep/mar,none,real estate,none,for free,skilled,yes,yes,39,5950,2,4,55,1,1,bad
no checking,existing paid,new car,<100,<1,male single,none,no known property,none,own,skilled,yes,yes,32,7482,3,3,50,4,1,good
no checking,critical/other existing credit,business,<100,>=7,male single,none,real estate,none,own,skilled,yes,yes,19,4538,4,2,30,4,1,good
0<=X<200,existing paid,new car,<100,<1,male single,none,car,none,rent,skilled,none,yes,24,1335,1,1,63,2,1,good
<0,existing paid,used car,<100,>=7,female div/sep/mar,none,life insurance,none,rent,skilled,none,yes,67,16141,1,3,50,4,1,bad
0<=X<200,existing paid,used car,<100,1<=X<4,female div/sep/mar,none,life insurance,none,rent,skilled,none,yes,69,15850,1,2,35,1,1,good
>=200,existing paid,used car,<100,>=7,male single,none,no known property,none,own,unemp/unskilled non res,yes,yes,62,8895,3,2,22,1,1,good
<0,critical/other existing credit,new car,<100,1<=X<4,male mar/wid,guarantor,life insurance,none,for free,skilled,yes,no,31,9060,2,2,60,4,1,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,car,none,rent,unskilled resident,none,no,58,9078,2,2,51,4,1,bad
0<=X<200,existing paid,business,no known savings,<1,male single,none,real estate,stores,own,high qualif/self emp/mgmt,yes,yes,34,5124,3,4,61,4,1,good
>=200,existing paid,new car,no known savings,<1,male single,none,real estate,bank,own,high qualif/self emp/mgmt,yes,yes,36,14017,1,3,66,1,1,good
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,female div/sep/mar,none,real estate,none,for free,unskilled resident,yes,yes,63,11163,3,4,61,3,1,bad
0<=X<200,critical/other existing credit,radio/tv,500<=X<1000,1<=X<4,male mar/wid,none,car,none,rent,unskilled resident,yes,yes,44,16465,3,3,27,3,1,bad
no checking,existing paid,education,<100,1<=X<4,male single,co applicant,real estate,none,own,skilled,yes,yes,49,14582,2,2,52,4,1,good
no checking,existing paid,furniture/equipment,100<=X<500,>=7,female div/sep/mar,none,real estate,none,rent,skilled,none,yes,52,4682,3,3,57,2,1,good
<0,existing paid,used car,>=1000,1<=X<4,male single,none,life insurance,none,own,skilled,yes,yes,68,7515,3,1,69,2,1,bad
no checking,delayed previously,used car,no known savings,>=7,female div/sep/mar,co applicant,car,none,own,skilled,yes,yes,45,6353,1,3,48,3,1,good
0<=X<200,no credits/all paid,radio/tv,<100,4<=X<7,male mar/wid,none,car,bank,own,skilled,none,yes,26,11262,4,1,68,4,1,good
no checking,existing paid,repairs,>=1000,4<=X<7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,30,16150,1,1,38,1,1,good
no checking,existing paid,new car,<100,>=7,male single,none,real estate,none,own,unskilled resident,yes,yes,35,2281,2,4,57,2,1,good
0<=X<200,critical/other existing credit,furniture/equipment,no known savings,unemployed,female div/sep/mar,none,no known property,bank,own,skilled,none,yes,6,17883,4,3,41,2,2,good
<0,existing paid,business,<100,1<=X<4,male single,none,real estate,none,rent,unskilled resident,yes,yes,63,8769,1,2,59,1,1,bad
<0,existing paid,repairs,100<=X<500,1<=X<4,male single,none,no known property,none,own,skilled,none,yes,20,9238,3,3,62,1,1,good
>=200,existing paid,business,100<=X<500,<1,male single,none,no known property,bank,for free,skilled,none,yes,35,5549,3,4,53,4,1,good
no checking,delayed previously,radio/tv,100<=X<500,>=7,male single,none,car,bank,own,skilled,none,yes,10,13202,4,1,41,1,1,good
<0,all paid,furniture/equipment,<100,>=7,male single,none,real estate,none,for free,high qualif/self emp/mgmt,none,yes,72,3344,4,1,72,1,1,bad
<0,existing paid,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,car,none,own,high qualif/self emp/mgmt,yes,yes,61,3227,3,4,66,1,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,car,stores,rent,skilled,none,yes,43,17596,2,4,57,3,1,good
no checking,existing paid,new car,100<=X<500,>=7,female div/sep/mar,none,car,bank,own,unskilled resident,none,yes,51,5975,1,3,41,1,1,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,life insurance,none,rent,skilled,none,yes,54,1518,3,1,55,2,1,good
<0,delayed previously,radio/tv,<100,1<=X<4,male single,co applicant,real estate,none,own,skilled,none,yes,60,16411,1,4,75,4,1,bad
0<=X<200,critical/other existing credit,new car,<100,1<=X<4,male single,none,real estate,none,rent,unskilled resident,none,yes,40,17006,1,3,41,4,1,bad
<0,existing paid,radio/tv,<100,>=7,male single,none,life insurance,bank,own,high qualif/self emp/mgmt,yes,yes,58,7867,1,3,57,4,1,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/sep/mar,none,car,none,own,unskilled resident,none,yes,44,15282,1,2,46,3,1,bad
<0,existing paid,business,<100,>=7,female div/sep/mar,none,life insurance,none,own,unskilled resident,none,yes,23,13184,2,1,37,2,1,bad
>=200,all paid,new car,<100,>=7,female div/sep/mar,none,life insurance,none,own,unskilled resident,none,yes,36,12135,2,3,67,1,1,good
0<=X<200,all paid,used car,500<=X<1000,1<=X<4,male single,none,life insurance,none,for free,skilled,none,yes,43,10046,2,4,66,2,2,good
>=200,existing paid,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,car,none,rent,skilled,none,yes,37,6529,3,1,48,4,1,good
no checking,critical/other existing credit,used car,<100,>=7,male div/sep,none,no known property,none,rent,skilled,none,yes,65,345,3,4,39,1,1,bad
no checking,delayed previously,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,22,15728,3,4,42,4,1,good
<0,critical/other existing credit,radio/tv,<100,>=7,male mar/wid,none,life insurance,none,own,skilled,yes,yes,46,7271,2,3,39,4,2,bad
<0,existing paid,new car,<100,>=7,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,72,15435,1,3,44,4,1,bad
<0,existing paid,radio/tv,100<=X<500,4<=X<7,female div/sep/mar,none,car,none,own,unskilled resident,none,yes,66,6118,2,2,69,2,1,bad
no checking,existing paid,furniture/equipment,100<=X<500,>=7,male div/sep,none,car,none,own,high qualif/self emp/mgmt,none,yes,13,13321,3,4,75,2,1,good
no checking,existing paid,furniture/equipment,<100,>=7,male single,none,no known property,none,own,skilled,none,yes,16,8291,4,3,68,4,1,good
>=200,existing paid,business,<100,>=7,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,8,16765,3,2,69,4,1,good
no checking,all paid,education,<100,1<=X<4,female div/sep/mar,none,no known property,none,own,unskilled resident,yes,yes,61,11557,1,1,54,1,2,good
no checking,existing paid,radio/tv,no known savings,unemployed,female div/sep/mar,none,real estate,none,own,skilled,none,yes,62,7540,2,2,44,4,2,good
<0,existing paid,radio/tv,no known savings,1<=X<4,male single,none,car,bank,own,skilled,none,yes,62,15745,4,2,51,4,1,good
no checking,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,yes,yes,18,6766,4,4,54,4,1,good
0<=X<200,critical/other existing credit,business,<100,1<=X<4,male div/sep,none,no known property,none,rent,high qualif/self emp/mgmt,yes,yes,4,9591,1,1,22,4,2,good
0<=X<200,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,41,11952,2,4,27,2,1,bad
0<=X<200,delayed previously,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,car,none,own,skilled,yes,no,56,1057,4,4,26,4,1,good
<0,existing paid,education,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,55,13281,3,2,20,3,1,bad
<0,delayed previously,used car,<100,<1,male single,none,real estate,none,own,skilled,none,yes,4,16684,1,2,47,4,1,good
no checking,critical/other existing credit,repairs,<100,>=7,male single,guarantor,real estate,none,own,high qualif/self emp/mgmt,yes,no,14,11650,4,3,41,2,1,bad
<0,existing paid,new car,<100,1<=X<4,male single,none,no known property,none,own,skilled,yes,yes,61,16689,1,2,24,3,2,bad
no checking,existing paid,furniture/equipment,<100,<1,male mar/wid,none,life insurance,none,own,skilled,yes,yes,43,3914,2,3,73,3,1,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,guarantor,real estate,none,own,skilled,none,yes,63,993,2,4,61,4,1,bad
0<=X<200,existing paid,business,<100,>=7,male single,none,life insurance,bank,own,skilled,none,yes,47,6280,2,2,54,4,1,good
0<=X<200,existing paid,education,<100,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,9,14911,3,1,64,2,1,good
0<=X<200,existing paid,radio/tv,>=1000,<1,male single,none,real estate,none,own,unskilled resident,none,yes,31,15225,4,1,39,3,1,good
no checking,existing paid,radio/tv,<100,>=7,male single,none,real estate,none,own,unskilled resident,yes,yes,34,329,2,4,40,3,1,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,female div/sep/mar,none,real estate,none,rent,skilled,none,yes,11,15059,3,4,27,2,1,good
>=200,existing paid,business,<100,>=7,male mar/wid,none,life insurance,none,own,skilled,none,yes,8,12382,2,2,52,4,1,good
0<=X<200,no credits/all paid,furniture/equipment,<100,1<=X<4,male single,none,no known property,bank,rent,unskilled resident,yes,yes,57,3216,2,3,75,1,1,good
no checking,no credits/all paid,furniture/equipment,no known savings,1<=X<4,male single,none,no known property,bank,rent,skilled,none,yes,20,15784,4,2,44,1,1,good
no checking,critical/other existing credit,new car,<100,>=7,female div/sep/mar,none,car,none,for free,high qualif/self emp/mgmt,none,yes,41,3978,3,3,19,3,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,for free,skilled,none,yes,12,4786,2,2,54,3,1,good
<0,existing paid,radio/tv,500<=X<1000,4<=X<7,male single,none,no known property,bank,rent,skilled,yes,yes,17,16759,3,1,62,4,1,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,car,none,own,skilled,none,no,29,6063,3,1,23,1,1,bad
<0,critical/other existing credit,new car,no known savings,1<=X<4,male mar/wid,none,real estate,none,own,skilled,yes,yes,65,1197,2,3,59,3,1,bad
>=200,existing paid,education,<100,<1,male div/sep,none,no known property,none,own,high qualif/self emp/mgmt,none,yes,28,12815,2,2,40,4,1,good
<0,existing paid,new car,<100,<1,female div/sep/mar,none,car,none,own,skilled,yes,yes,39,16094,1,4,22,1,1,bad
0<=X<200,critical/other existing credit,radio/tv,<100,unemployed,male single,none,car,none,for free,skilled,none,yes,36,844,4,3,66,2,1,bad
>=200,critical/other existing credit,business,<100,unemployed,male single,none,car,none,own,skilled,none,yes,6,16774,2,1,20,3,1,bad
0<=X<200,existing paid,furniture/equipment,no known savings,>=7,male single,none,real estate,none,own,skilled,none,yes,14,14267,1,3,34,2,1,good
no checking,critical/other existing credit,used car,>=1000,1<=X<4,male div/sep,none,real estate,none,own,skilled,none,yes,61,4455,4,2,34,1,1,good
<0,existing paid,radio/tv,<100,4<=X<7,male mar/wid,co applicant,car,none,own,high qualif/self emp/mgmt,none,yes,67,8032,2,4,71,4,1,bad
<0,existing paid,repairs,<100,>=7,male div/sep,none,real estate,none,for free,skilled,none,yes,21,2910,3,4,74,4,1,bad
no checking,existing paid,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,life insurance,bank,own,skilled,none,yes,50,16263,4,3,74,1,1,good
0<=X<200,all paid,business,no known savings,<1,male div/sep,none,car,none,own,unskilled resident,none,yes,47,7106,3,2,40,2,1,good
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,none,car,none,own,unskilled resident,none,yes,62,6339,1,2,61,4,1,good
0<=X<200,existing paid,furniture/equipment,<100,4<=X<7,male mar/wid,none,life insurance,none,own,unskilled resident,none,yes,53,5568,2,4,19,3,1,good
<0,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,72,15655,1,1,33,2,1,bad
no checking,critical/other existing credit,education,no known savings,>=7,male single,none,car,none,own,skilled,yes,yes,32,8312,2,2,42,2,1,good
no checking,critical/other existing credit,new car,<100,>=7,male div/sep,co applicant,car,none,own,skilled,none,yes,70,17674,2,4,22,3,2,bad
